地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,燃やさないごみ,資源
青井1～6丁目,,月 水 金,木1 木3,土
足立1～4丁目,,月 水 金,火2 火4,木
綾瀬1～6丁目,,月 水 金,木2 木4,土
綾瀬7丁目,,月 水 金,木1 木3,土
伊興1～5丁目,,火 木 土,月1 月3,金
伊興本町1～2丁目,,火 木 土,月1 月3,金
入谷1丁目（1～6番）・2～4丁目,,火 木 土,水1 水3,月
入谷1丁目（7～29番）・5～9丁目,,火 木 土,水2 水4,月
梅島1丁目（1～25番）・3丁目,,月 水 金,土1 土3,火
梅島1丁目（26～36番）・2丁目,,月 水 金,火2 火4,木
梅田1～3丁目・4丁目（1～26番）・6～7丁目,,月 水 金,土1 土3,火
梅田4丁目（27～41番）・5丁目・8丁目,,月 水 金,土2 土4,火
扇1丁目（1～12番・23～49番）,,月 水 金,木1 木3,土
扇1丁目（13～22番・50～56番）・3丁目,,月 水 金,木2 木4,土
扇2丁目,,火 木 土,金1 金3,水
大谷田1～5丁目,,火 木 土,金1 金3,月
興野1～2丁目,,月 水 金,木1 木3,土
小台1～2丁目,,月 水 金,木2 木4,土
加賀1～2丁目,,火 木 土,水2 水4,月
加平1丁目,,月 水 金,木1 木3,土
加平2～3丁目,,火 木 土,金2 金4,月
北加平町,,火 木 土,金2 金4,月
栗原1～2丁目,,月 水 金,火2 火4,木
栗原3丁目・4丁目（1～20番）,,火 木 土,月2 月4,金
栗原4丁目（21～25番）,,火 木 土,月1 月3,金
弘道1～2丁目,,月 水 金,火1 火3,木
弘北1～7丁目,,火 木 土,金1 金3,水
古千谷1～2丁目,,火 木 土,水1 水3,月
古千谷本町1～4丁目,,火 木 土,水1 水3,月
佐野1～2丁目,,火 木 土,金1 金3,月
皿沼1～3丁目,,火 木 土,水2 水4,月
鹿浜1～5丁目・6丁目（1～14番）,,火 木 土,金2 金4,水
鹿浜6丁目（15～28番）・7～8丁目,,火 木 土,水2 水4,月
島根1～4丁目,,月 水 金,火2 火4,木
新田1～3丁目,,火 木 土,金2 金4,水
神明1～3丁目,,火 木 土,水2 水4,金
神明南1～2丁目,,火 木 土,金2 金4,月
関原1～3丁目,,月 水 金,土2 土4,火
千住1～3丁目,,月 水 金,木1 木3,土
千住4丁目,,月 水 金,木2 木4,土
千住5丁目,,月 水 金,木2 木4,火
千住曙町,,月 水 金,土2 土4,木
千住旭町,,月 水 金,土1 土3,火
千住東1丁目,,月 水 金,土1 土3,火
千住東2丁目,,月 水 金,土1 土3,木
千住大川町,,火 木 土,金1 金3,水
千住河原町,,火 木 土,水2 水4,金
千住寿町,,火 木 土,金2 金4,水
千住桜木1～2丁目,,火 木 土,水1 水3,月
千住関屋町,,火 木 土,水2 水4,金
千住龍田町,,火 木 土,金2 金4,月
千住中居町,,火 木 土,金2 金4,水
千住仲町,,月 水 金,木1 木3,土
千住橋戸町,,火 木 土,水2 水4,金
千住緑町1～2丁目,,火 木 土,水1 水3,金
千住緑町3丁目,,火 木 土,水1 水3,月
千住宮元町,,火 木 土,金2 金4,水
千住元町,,火 木 土,金1 金3,月
千住柳町,,火 木 土,金1 金3,水
竹の塚1丁目・2丁目（10～32番）・3丁目（5～20番）・4～7丁目,,月 水 金,火1 火3,木
竹の塚2丁目（1～9番）・3丁目（1～4番）,,月 水 金,火2 43,木
辰沼1～2丁目,,火 木 土,金2 金4,月
中央本町1～5丁目,,月 水 金,火1 火3,木
椿1丁目・2丁目（20～27番）,,火 木 土,金1 金3,水
椿2丁目（1～19番）,,火 木 土,金2 金4,水
東和1～2丁目,,月 水 金,土2 土4,火
東和3～5丁目,,月 水 金,土1 土3,火
舎人1～6丁目,,火 木 土,水1 水3,月
中川1～5丁目,,月 水 金,土2 土4,火
西綾瀬1～4丁目,,月 水 金,火2 火4,木
西新井1～2丁目・3丁目（1～22番）・4～7丁目,,火 木 土,月2 月4,金
西新井3丁目（23～25番）,,火 木 土,月1 月3,金
西新井栄町1～3丁目,,月 水 金,土2 土4,火
西新井本町1～3丁目・4丁目（4～14番・24～29番）・5丁目,,月 水 金,木2 木4,土
西新井本町4丁目（1～3番・15～23番・30番）,,月 水 金,木1 木3,土
西伊興1丁目（1～18番）,,火 木 土,月2 月4,金
西伊興1丁目（19番）・2～3丁目,,火 木 土,水1 水3,月
西伊興4丁目,,火 木 土,月1 月3,金
西伊興町,,火 木 土,水1 水3,月
西加平1～2丁目,,火 木 土,水1 水3,金
西竹の塚,,火 木 土,月1 月3,金
西保木間1～4丁目,,月 水 金,火1 火3,木
花畑1～8丁目,,火 木 土,月1 月3,水
東綾瀬1丁目,,月 水 金,土2 土4,火
東綾瀬2～3丁目,,月 水 金,土1 土3,火
東伊興1～4丁目,,火 木 土,月1 月3,金
東保木間1～2丁目,,火 木 土,月2 月4,水
東六月町,,火 木 土,水1 水3,金
一ツ家1～4丁目,,火 木 土,水1 水3,金
日ノ出町,,月 水 金,木2 木4,火
平野1～3丁目,,火 木 土,水1 水3,金
保木間1～5丁目,,火 木 土,月2 月4,水
保塚町,,火 木 土,水1 水3,金
堀之内1丁目（1番）・2丁目,,火 木 土,金1 金3,水
堀之内1丁目（2～22番）,,火 木 土,金2 金4,水
南花畑1～4丁目,,火 木 土,水2 水4,金
南花畑5丁目,,火 木 土,月1 月3,水
宮城1～2丁目,,月 水 金,木2 木4,土
六木1～2丁目,,火 木 土,金2 金4,月
六木3～4丁目,,火 木 土,水2 水4,金
本木1～2丁目,,月 水 金,木1 木3,土
本木北町,,月 水 金,木1 木3,土
本木西町,,月 水 金,木1 木3,土
本木東町,,月 水 金,木1 木3,土
本木南町,,月 水 金,木1 木3,土
谷在家1丁目,,火 木 土,月2 月4,金
谷在家2～3丁目,,火 木 土,水2 水4,月
谷中1～2丁目,,月 水 金,土1 土3,火
谷中3～5丁目,,火 木 土,金2 金4,月
柳原1～2丁目,,月 水 金,土2 土4,木
六月1丁目・2丁目（1～13番・14番1～9号・15番11～14号・16～33番 *1）・3丁目（1～9番）,,月 水 金,火2 火4,木
六月2丁目（14番10～11号・15番6～12号・34～35番 *2）,,月 水 金,火1 火3,木
六町1～4丁目,,火 木 土,水1 水3,金
